data downloaded april 25, from https://delphi.cmu.edu/covidcast/indicator/?date=20210419&sensor=fb-survey-smoothed_hh_cmnty_cli and https://delphi.cmu.edu/covidcast/; download from menu covidcast -> explore an indicator; this file is the indicator COVID-Like Symptoms (the value column... and is per 100 individuals ),,,,,,,,
geo_value,signal,time_value,issue,lag,value,stderr,sample_size,geo_type,data_source
ia,smoothed_cli,3/30/2021,4/4/2021,5,1.0920738,0.1608167,3625.5919,state,fb-survey
id,smoothed_cli,3/30/2021,4/4/2021,5,0.8666473,0.1886988,1876.8509,state,fb-survey
il,smoothed_cli,3/30/2021,4/4/2021,5,0.5952048,0.0689271,10495.0006,state,fb-survey
in,smoothed_cli,3/30/2021,4/4/2021,5,0.787218,0.1036289,5580.0098,state,fb-survey
ks,smoothed_cli,3/30/2021,4/4/2021,5,0.5449993,0.1265715,2752.0319,state,fb-survey
ky,smoothed_cli,3/30/2021,4/4/2021,5,0.7021916,0.1263794,3699.5806,state,fb-survey
la,smoothed_cli,3/30/2021,4/4/2021,5,0.9714615,0.1546804,3430.3691,state,fb-survey
ma,smoothed_cli,3/30/2021,4/4/2021,5,0.57869,0.1003167,4717.011,state,fb-survey
md,smoothed_cli,3/30/2021,4/4/2021,5,0.4741721,0.0963406,4099.9982,state,fb-survey
me,smoothed_cli,3/30/2021,4/4/2021,5,0.6997685,0.1676193,1855.2234,state,fb-survey
mi,smoothed_cli,3/30/2021,4/4/2021,5,1.0780883,0.0859415,12096.9999,state,fb-survey
mn,smoothed_cli,3/30/2021,4/4/2021,5,0.4447128,0.0927915,4231.1271,state,fb-survey
mo,smoothed_cli,3/30/2021,4/4/2021,5,0.6225484,0.0995188,4555.5783,state,fb-survey
ms,smoothed_cli,3/30/2021,4/4/2021,5,0.4438496,0.1323022,2228.0314,state,fb-survey
mt,smoothed_cli,3/30/2021,4/4/2021,5,0.5785088,0.1986536,1323.5162,state,fb-survey
nc,smoothed_cli,3/30/2021,4/4/2021,5,0.5514183,0.0743889,7888.0094,state,fb-survey
nd,smoothed_cli,3/30/2021,4/4/2021,5,1.3399022,0.4023648,704.826,state,fb-survey
ne,smoothed_cli,3/30/2021,4/4/2021,5,0.966339,0.2141794,1832.0399,state,fb-survey
nh,smoothed_cli,3/30/2021,4/4/2021,5,0.6358849,0.1867258,1598.7766,state,fb-survey
nj,smoothed_cli,3/30/2021,4/4/2021,5,0.7769955,0.102042,6178.9974,state,fb-survey
nm,smoothed_cli,3/30/2021,4/4/2021,5,0.5944986,0.1357583,2716.8956,state,fb-survey
nv,smoothed_cli,3/30/2021,4/4/2021,5,0.5462967,0.1620037,1937.2492,state,fb-survey
ny,smoothed_cli,3/30/2021,4/4/2021,5,0.661954,0.0654727,12555.0013,state,fb-survey
oh,smoothed_cli,3/30/2021,4/4/2021,5,0.7850543,0.0827031,9815.996,state,fb-survey
ok,smoothed_cli,3/30/2021,4/4/2021,5,0.7762298,0.1365209,3475.6255,state,fb-survey
or,smoothed_cli,3/30/2021,4/4/2021,5,0.4159965,0.0932716,3863.9416,state,fb-survey
pa,smoothed_cli,3/30/2021,4/4/2021,5,0.871585,0.0800605,11089.0054,state,fb-survey
ri,smoothed_cli,3/30/2021,4/4/2021,5,0.8186201,0.2802561,937.989,state,fb-survey
sc,smoothed_cli,3/30/2021,4/4/2021,5,0.816339,0.1195192,4616.0044,state,fb-survey
